,,Pollster Characteristics (as of Aug. 2014),,,,,,Key Ratings,,,,,Basic Stats,,,,,,Advanced Stats,,,,Bias Analysis,,,
,Pollster,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Internet,Banned by 538,,Historical Advanced Plus-Minus,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,,# of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect
1,Monmouth University,71,yes,yes,no,no,,-1.5,-1.2,A+,D +0.6,,85%,20%,5.5,6.4,-0.9,,-1.5,-1.0,-1.2,,41,D +1.0,D +0.6,R +0.8
2,Field Research Corporation (Field Poll),25,yes,yes,no,no,,-2.5,-1.1,A+,R +1.1,,100%,16%,3.9,5.6,-1.7,,-2.5,-1.2,-1.1,,17,R +3.0,R +1.1,D +0.9
3,Selzer & Company,37,yes,yes,no,no,,-1.6,-1.1,A+,R +0.0,,84%,24%,4.6,5.7,-1.1,,-1.6,-0.9,-1.1,,24,R +0.0,R +0.0,D +1.1
4,Elway Research,18,yes,yes,no,no,,-2.3,-1.0,A+,D +0.5,,89%,6%,4.0,5.9,-1.9,,-2.3,-0.9,-1.0,,16,D +1.4,D +0.5,D +3.8
5,Ciruli Associates,17,yes,yes,no,no,,-2.0,-1.0,A+,R +0.7,,94%,0%,3.6,5.5,-1.9,,-2.0,-0.7,-1.0,,16,R +2.1,R +0.7,R +2.5
6,ABC News/Washington Post,51,yes,yes,no,no,,-1.0,-0.9,A+,D +0.6,,78%,6%,3.0,4.6,-1.5,,-1.0,-0.7,-0.9,,46,D +1.0,D +0.6,D +1.7
7,Grove Insight,29,no,yes,no,no,,-2.5,-0.8,A,D +0.5,,90%,7%,3.1,5.0,-1.8,,-2.5,-1.2,-0.8,,29,D +1.0,D +0.5,D +3.4
8,Marist College,146,yes,yes,no,no,,-0.8,-0.8,A,R +0.7,,88%,19%,5.4,6.1,-0.7,,-0.8,-0.7,-0.8,,85,R +0.9,R +0.7,D +0.4
9,Muhlenberg College,22,yes,yes,no,no,,-1.3,-0.8,A,R +0.5,,91%,9%,3.5,5.2,-1.7,,-1.3,-0.6,-0.8,,21,R +1.2,R +0.5,D +0.0
10,National Journal,12,yes,yes,no,no,,-2.6,-0.8,A,R +0.2,,100%,0%,2.6,5.1,-2.5,,-2.6,-0.7,-0.8,,12,R +0.6,R +0.2,D +0.3
11,Public Policy Institute of California,12,yes,yes,no,no,,-2.0,-0.8,A,R +0.7,,100%,8%,4.1,6.1,-2.0,,-2.0,-0.6,-0.8,,8,R +3.4,R +0.7,R +1.0
12,SurveyUSA,763,yes,no,no,no,,-1.0,-0.8,A,D +0.1,,90%,16%,4.6,5.6,-0.9,,-1.0,-0.9,-0.8,,597,D +0.1,D +0.1,R +0.3
13,University of Cincinnati (Ohio Poll),38,yes,yes,no,no,,-0.9,-0.7,A,R +1.5,,93%,16%,3.7,5.4,-1.7,,-0.9,-0.5,-0.7,,29,R +3.0,R +1.5,R +2.3
14,Siena College,42,yes,yes,no,no,,-0.8,-0.7,A,R +0.3,,85%,17%,5.3,5.5,-0.2,,-0.8,-0.5,-0.7,,38,R +0.5,R +0.3,R +1.7
15,Fairleigh Dickinson University (PublicMind),18,yes,yes,no,no,,-1.3,-0.7,A,D +0.0,,94%,6%,4.1,5.3,-1.2,,-1.3,-0.5,-0.7,,17,D +0.1,D +0.0,D +3.1
16,"Research & Polling, Inc.",26,no,yes,no,no,,-1.7,-0.6,A,R +0.7,,85%,8%,4.1,5.7,-1.5,,-1.7,-0.8,-0.6,,25,R +1.5,R +0.7,R +1.4
17,Fox News/Anderson Robbins Research/Shaw & Company Research,24,yes,yes,no,no,,-0.8,-0.6,A,D +0.4,,65%,42%,6.4,6.5,-0.1,,-0.8,-0.3,-0.6,,9,D +1.9,D +0.4,D +0.6
18,Marquette University,7,yes,yes,no,no,,-3.8,-0.6,A,R +0.1,,100%,0%,2.6,6.2,-3.5,,-3.8,-0.7,-0.6,,4,R +0.5,R +0.1,D +0.1
19,Behavior Research Center (Rocky Mountain),7,yes,yes,no,no,,-2.5,-0.6,A,D +0.1,,71%,0%,3.5,6.5,-3.0,,-2.5,-0.5,-0.6,,5,D +0.6,D +0.1,R +2.1
20,Blum & Weprin Associates,18,no,yes,no,no,,-2.6,-0.6,A,R +1.0,,94%,11%,4.6,5.1,-0.5,,-2.6,-1.0,-0.6,,16,R +3.0,R +1.0,D +1.2
21,NBC News/Wall Street Journal,25,yes,yes,no,no,,-0.6,-0.5,A-,D +0.5,,74%,12%,4.2,5.2,-1.0,,-0.6,-0.3,-0.5,,20,D +1.1,D +0.5,D +0.7
22,University of Connecticut,7,yes,yes,no,no,,-1.6,-0.5,A-,R +0.4,,93%,0%,3.6,5.6,-1.9,,-1.6,-0.3,-0.5,,7,R +1.9,R +0.4,R +2.0
23,Time/Abt SRBI,7,yes,yes,no,no,,-1.5,-0.5,A-,D +0.4,,100%,0%,3.2,5.1,-1.9,,-1.5,-0.3,-0.5,,6,D +2.7,D +0.4,R +0.2
24,Angus Reid Global,29,no,no,yes,no,,-2.0,-0.4,A-,R +1.3,,93%,3%,3.3,4.9,-1.6,,-2.0,-1.0,-0.4,,29,R +2.7,R +1.3,D +0.8
25,Ipsos,49,yes,no,yes,no,,-0.9,-0.4,A-,D +0.1,,78%,8%,4.3,4.8,-0.5,,-0.9,-0.6,-0.4,,43,D +0.2,D +0.1,D +0.9
26,Quinnipiac University,169,yes,yes,no,no,,-0.3,-0.4,A-,R +0.7,,87%,23%,4.7,5.6,-0.9,,-0.3,-0.3,-0.4,,117,R +0.8,R +0.7,D +0.3
27,University of Arkansas,4,yes,yes,no,no,,-5.5,-0.4,A-,D +0.3,,100%,0%,2.4,5.3,-2.8,,-5.5,-0.6,-0.4,,4,D +2.4,D +0.3,R +5.1
28,IBD/TIPP,17,no,yes,no,no,,-1.6,-0.4,A-,R +0.7,,76%,6%,2.3,3.4,-1.1,,-1.6,-0.6,-0.4,,17,R +2.1,R +0.7,R +1.1
29,CBS News/New York Times,55,yes,yes,no,no,,-0.3,-0.4,A-,D +0.6,,75%,16%,4.7,5.3,-0.6,,-0.3,-0.2,-0.4,,45,D +1.1,D +0.6,D +2.0
30,CNN/Opinion Research Corp.,89,yes,yes,no,no,,-0.3,-0.4,A-,R +0.1,,76%,25%,5.5,5.8,-0.3,,-0.3,-0.2,-0.4,,61,R +0.2,R +0.1,D +0.4
31,Los Angeles Times,40,yes,yes,no,no,,-0.2,-0.4,A-,R +0.6,,86%,18%,5.2,6.1,-0.8,,-0.2,-0.1,-0.4,,24,R +1.4,R +0.6,D +0.6
32,MassINC Polling Group,11,no,yes,no,no,,-2.4,-0.3,A-,R +0.2,,100%,9%,3.1,6.6,-3.5,,-2.4,-0.7,-0.3,,7,R +0.9,R +0.2,D +1.8
33,St. Norbert College,12,no,yes,no,no,,-1.8,-0.3,A-,D +0.3,,88%,0%,3.9,6.1,-2.2,,-1.8,-0.5,-0.3,,11,D +0.9,D +0.3,D +2.9
34,EPIC-MRA,43,no,yes,no,no,,-0.8,-0.3,A-,R +0.4,,84%,19%,5.1,5.7,-0.6,,-0.8,-0.4,-0.3,,38,R +0.6,R +0.4,D +0.8
35,Western New England University,11,yes,yes,no,no,,-0.3,-0.3,A-,R +1.2,,86%,27%,5.8,5.7,+0.1,,-0.3,-0.1,-0.3,,10,R +4.6,R +1.2,R +0.4
36,University of North Florida,4,yes,yes,no,no,,-1.0,-0.3,B+,D +0.3,,50%,0%,4.5,6.7,-2.2,,-1.0,-0.1,-0.3,,2,D +5.1,D +0.3,D +2.7
37,University of New Hampshire,93,yes,yes,no,no,,-0.1,-0.3,B+,D +1.7,,88%,17%,5.3,5.8,-0.5,,-0.1,-0.1,-0.3,,77,D +2.3,D +1.7,D +3.1
38,High Point University,2,yes,yes,no,no,,-5.6,-0.3,B+,D +0.0,,100%,0%,0.9,4.2,-3.3,,-5.6,-0.4,-0.3,,2,D +0.1,D +0.0,D +1.8
39,Indiana University,2,yes,yes,no,no,,-4.2,-0.3,B+,D +0.1,,100%,0%,0.9,5.8,-5.0,,-4.2,-0.3,-0.3,,2,D +0.9,D +0.1,D +4.1
