org_index,pollsters,Notes,,,Check
5,IBD/TIPP : TIPP Insights,,,,University of Denver : Ciruli Associates
6,Selzer & Company : Selzer & Co.,,,,Associated Industries of Florida : The Tyson Group
8,Selzer & Company : Selzer & Co.,,,,Crosswind Media & Public Relations : Rasmussen Reports
13,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
16,"RKM Research and Communications, Inc. : RKM Research and Communications Inc.",,,,
69,Insights West : Leger,Insights West acquired by Leger,,,
121,"Research & Polling, Inc. : Research & Polling Inc.",,,,
132,"Susquehanna Polling & Research, Inc. : Susquehanna Polling & Research Inc.",,,,
134,Stockton College : Stockton University,,,,
155,"Political Marketing International, Inc./Red Racing Horses : RRH Elections",,,,
174,Time/Abt SRBI : Abt Associates,,,,
180,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
182,University of Denver : Ciruli Associates,,,,
189,Insights West : Leger,Insights West acquired by Leger,,,
190,Insights West : Leger,Insights West acquired by Leger,,,
192,Insights West : Leger,Insights West acquired by Leger,,,
197,JMC Enterprises : JMC Analytics,,,,
200,Insights West : Leger,Insights West acquired by Leger,,,
201,"Davis, Hibbitts & Midghall, Inc. : DHM Research",,,,
202,Associated Industries of Florida : The Tyson Group,"https://projects.fivethirtyeight.com/pollster-ratings/the-tyson-group/  

alternate name for same group",,,
205,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
206,Crosswind Media & Public Relations : Rasmussen Reports,"Alternate Name

https://projects.fivethirtyeight.com/pollster-ratings/rasmussen-reports/",,,
228,CBS News/New York Times : CBS News/The New York Times,,,,
229,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
264,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
341,IBD/TIPP : TIPP Insights,,,,
358,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
393,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
424,IBD/TIPP : TIPP Insights,,,,
425,Selzer & Company : Selzer & Co.,,,,
427,Selzer & Company : Selzer & Co.,,,,
432,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
435,"RKM Research and Communications, Inc. : RKM Research and Communications Inc.",,,,
488,Insights West : Leger,Insights West acquired by Leger,,,
540,"Research & Polling, Inc. : Research & Polling Inc.",,,,
551,"Susquehanna Polling & Research, Inc. : Susquehanna Polling & Research Inc.",,,,
553,Stockton College : Stockton University,,,,
574,"Political Marketing International, Inc./Red Racing Horses : RRH Elections",,,,
593,Time/Abt SRBI : Abt Associates,,,,
599,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
601,University of Denver : Ciruli Associates,,,,
608,Insights West : Leger,Insights West acquired by Leger,,,
609,Insights West : Leger,Insights West acquired by Leger,,,
611,Insights West : Leger,Insights West acquired by Leger,,,
616,JMC Enterprises : JMC Analytics,,,,
619,Insights West : Leger,Insights West acquired by Leger,,,
620,"Davis, Hibbitts & Midghall, Inc. : DHM Research",,,,
621,Associated Industries of Florida : The Tyson Group,"https://projects.fivethirtyeight.com/pollster-ratings/the-tyson-group/  

alternate name for same group",,,
624,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
625,Crosswind Media & Public Relations : Rasmussen Reports,"Alternate Name

https://projects.fivethirtyeight.com/pollster-ratings/rasmussen-reports/",,,
647,CBS News/New York Times : CBS News/The New York Times,,,,
648,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
683,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
760,IBD/TIPP : TIPP Insights,,,,
777,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
812,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
843,IBD/TIPP : TIPP Insights,,,,
844,Selzer & Company : Selzer & Co.,,,,
846,Selzer & Company : Selzer & Co.,,,,
851,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
854,"RKM Research and Communications, Inc. : RKM Research and Communications Inc.",,,,
907,Insights West : Leger,Insights West acquired by Leger,,,
959,"Research & Polling, Inc. : Research & Polling Inc.",,,,
970,"Susquehanna Polling & Research, Inc. : Susquehanna Polling & Research Inc.",,,,
972,Stockton College : Stockton University,,,,
993,"Political Marketing International, Inc./Red Racing Horses : RRH Elections",,,,
1012,Time/Abt SRBI : Abt Associates,,,,
1018,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
1020,University of Denver : Ciruli Associates,,,,
1027,Insights West : Leger,Insights West acquired by Leger,,,
1028,Insights West : Leger,Insights West acquired by Leger,,,
1030,Insights West : Leger,Insights West acquired by Leger,,,
1035,JMC Enterprises : JMC Analytics,,,,
1038,Insights West : Leger,Insights West acquired by Leger,,,
1039,"Davis, Hibbitts & Midghall, Inc. : DHM Research",,,,
1040,Associated Industries of Florida : The Tyson Group,"https://projects.fivethirtyeight.com/pollster-ratings/the-tyson-group/  

alternate name for same group",,,
1043,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
1044,Crosswind Media & Public Relations : Rasmussen Reports,"Alternate Name

https://projects.fivethirtyeight.com/pollster-ratings/rasmussen-reports/",,,
1066,CBS News/New York Times : CBS News/The New York Times,,,,
1067,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
1102,"Mason-Dixon Polling & Research, Inc. : Mason-Dixon Polling & Strategy",,,,
1179,IBD/TIPP : TIPP Insights,,,,
1196,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
1232,USC Dornsife/LA Times : University of Southern California Center for Economic and Social Research,,,,
